Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2592,2592,2592,3,3,0,0,0.0,0.0,0.0,0.0,0.0,88.0,1.47,4,4,1.0,1.36,1.02,0.0,0
Alpha511,1Fcqq12HeSxi3UEqeuPrj7mKZ5U8CLosE5
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,4,10960,10960,11000,11,11,0,654,558.0,0.00596,0.0,59.5,1.23,84.5,1.26,10,10,1.0,1.36,1.26,0.0,0
Amirali00124,1FfeaJ6cQGWmfRH3SKsYnyMYA62g7FnDds
Antdix,1NNnUkWk29x6PBMyUpRDXv4dEMNrw5qjWY,0,0,0,16996,16996,16996,17,0,17,221,145.0,0.00155,0.0,26.0,1.05,65.0,0.467,12,12,1.0,1.36,0.733,0.78,13
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,0,0,0,36347,36347,36347,36,35,1,67,52.0,0.000556,0.0,1.84,0.646,77.5,0.909,36,36,1.0,1.36,0.876,0.932,1
Asquirrel,1Dme8MjSTnsQdGsXT94Yb5is9EXqRPYnVZ
Athanasios_motok,13uzim3VkT6YSEGsUA7KxKkimepsaLF7ZE,701,210,36,39512,40213,40082,40,13,27,1338,946.0,0.0101,0.0,33.4,1.1,70.0,0.619,68,68,1.0,1.36,0.838,0.892,24
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22207,22207,22207,22,22,0,24,19.0,0.000203,0.0,1.08,0.585,79.0,0.978,15,15,1.0,1.36,0.898,0.0,0
Backa18,1A7mEa8zufBg2ajkQU8uezFKVvaxEqXr3g,0,0,0,86741,86741,86741,87,85,2,52,41.0,0.000438,0.0,0.599,0.525,77.5,0.909,30,30,1.0,1.36,0.839,0.893,2
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10533,10533,10573,11,11,0,43,40.0,0.000427,0.0,4.07,0.748,93.0,1.81,0,12,0.0,0.0,1.31,0.0,0
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36734,36734,36734,37,37,0,34,30.0,0.000321,0.0,0.926,0.569,88.5,1.5,8,15,0.533,0.61,1.13,0.0,0
Ben,1DbJtgRfXqa2Vjh4Qfe35gGqMVEbC7DoAu,0,0,15,1946,1946,2096,2,2,0,453,389.0,0.00416,0.0,216.1,1.56,85.0,1.29,0,1,0.0,0.0,1.24,0.0,0
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,27584,27584,27584,28,28,0,55,43.0,0.00046,0.0,1.99,0.655,78.0,0.932,1,26,0.0385,0.0212,0.758,0.0,0
Bit-fxtrader,1BZrrPVnQibm9M357dATtTokUYP1vaosgU
Bittzy78,1Pz1K3res89p4GF3N26gz93CzbyWUcjEAb,3084,925,6,12925,16009,13910,14,12,2,61,52.0,0.000556,0.0,4.39,0.758,84.0,1.23,13,13,1.0,1.36,1.1,1.17,2
Blackjet69,1tjX32UTH9DV9LkWKSncr4a3sJ4ksY84S
Bloodstone,16ErAavhmhfJZzRMN7x3be7Mg43KYqTyaK
Bmlzootown,1AWxtasquGuwRz9KMSfbZLVa3ED7XuXNev,0,0,0,1281,1281,1281,1,1,0,0,0.0,0.0,0.0,0.0,0.0,82.0,1.13,3,3,1.0,1.36,0.812,0.0,0
Boelens,1PZ4yQmyi4JsfhUUHJiNs15gt98MreQXw1,0,0,0,1419,1419,1419,1,1,0,6,4.0,0.0000427,0.0,4.23,0.753,70.0,0.619,0,1,0.0,0.0,0.597,0.0,0
Bomac,18sqY71VonaH81y4mWyrFirLf9ZMq238wY
Caprigon,1Q4siL9KD2W8cy5eguRr5z5R1iCca27Qqv,0,0,0,14008,14008,14008,14,0,14,86,68.0,0.000727,0.0,12.3,0.917,78.5,0.955,5,5,1.0,1.36,0.984,1.05,15
CaramelSunshine,14yBc8zcJZh8nhUVx62RBX1n19Nw4pgy2q,0,0,0,3950,3950,3950,4,4,0,4,2.0,0.0000214,0.0,1.01,0.578,50.0,0.173,0,6,0.0,0.0,0.278,0.0,0
Cdelatorref,13TRk2LRQuPH926Dq4u1uL63gUvfX5wRN3,0,0,8,4334,4334,4414,4,0,4,96,76.0,0.000812,0.0,43.5,1.16,78.5,0.955,6,6,1.0,1.36,1.06,1.12,4
Ceebizcut,1M5haKYJ8PJ43kHTs6okSBLj5gUhLRQiUJ,0,0,0,22266,22266,22266,22,22,0,12,10.0,0.000107,0.0,0.539,0.515,86.0,1.35,0,12,0.0,0.0,0.963,0.0,0
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,22120,6636,0,149429,171549,156065,156,141,15,278,197.0,0.00211,0.0,1.78,0.642,70.0,0.619,49,116,0.422,0.453,0.609,0.648,10
Cryptobyte,1HwxMzbFqZfyE6HaR2D3keJQ1ync1V5UQR,0,0,0,5145,5145,5145,5,5,0,0,0.0,0.0,0.0,0.0,0.0,92.0,1.74,0,4,0.0,0.0,1.04,0.0,0
Cryptopi,16wwpo6sJeFFWMnSy7ySa62mZLTAWohyP7,0,0,3,108817,108817,108847,109,110,0,125,63.0,0.000673,0.0,1.15,0.592,50.0,0.173,0,78,0.0,0.0,0.282,0.0,0
Cryptaur,18HEmGSt6x1aiwqEWQBZYedYwEjEB61FLe
Cybernet,1La3GDDFvm2fVSjDh7Wy6YvbZ4MiP7Mt1q
Dalamar96,1BXH2Xida1orS5GpXdniMrwZFbi5iznM92,0,0,0,19133,19133,19133,19,10,9,40,28.0,0.000299,0.0,2.09,0.661,70.0,0.619,6,6,1.0,1.36,0.706,0.751,7
Darebruges,1EkixVazBUdNarHfB5eUWsxQ6JJnQuQx3K,0,0,7,1762,1762,1832,2,0,2,67,53.0,0.000566,0.0,73.1,1.27,78.5,0.955,3,3,1.0,1.36,1.09,1.16,2
Dead_bit,1SuaNpdTNevb6VUYYn2Tqq4iXD5yeLmJ9
DeadSea33,1A9qwtctYmYrCKSegy7RrNCUJxuohwFQmD,30991,9297,126,114736,145727,125293,125,118,7,105,86.0,0.000919,0.0,0.838,0.559,81.5,1.1,7,44,0.159,0.13,0.84,0.895,6
Deadwood,1MRCQrNWiXg8LA4vq6PfYvpdWfyZketSw6
Devguy,1QAZtw4SYaMfceg55uL2yarTnDtjySSyXz,0,0,1,12111,12111,12121,12,12,0,5,4.0,0.0000427,0.0,0.413,0.49,75.0,0.803,9,11,0.818,1.05,0.734,0.0,0
Devtome_Writer,17wwzTrWrk1buS9bxEFdgTsvhiyrDakBZe,0,0,0,10248,10248,10248,10,10,0,13,9.0,0.0000962,0.0,1.27,0.603,70.0,0.619,10,13,0.769,0.974,0.65,0.0,0
Dexter,18jMxk8jqwvgpx4wT48VAb6jGbYNazz4b7,16281,4884,69,93308,109589,98882,99,99,0,22,16.0,0.000171,0.0,0.222,0.437,70.0,0.619,2,31,0.0645,0.041,0.507,0.0,0
Dhouses,192hXH4dh4zASr1212X6GJFXsypavW2uMW
Diamondcardz,18q45dAKGakQdPkjrg17NrfdiFGKWULwSJ,0,0,2,2077,2077,2097,2,2,0,3,3.0,0.0000321,0.0,1.43,0.617,90.0,1.6,0,2,0.0,0.0,1.15,0.0,0
Dinkleberg,1Mnd6HGYcoNryKT2bkaT55BPsVK1a8o49u,0,0,93,25503,25503,26433,26,25,1,83,75.0,0.000801,0.0,3.14,0.713,90.0,1.6,31,31,1.0,1.36,1.31,1.39,1
Eammy,1EPRS5bUm6USqLWZf5faBzZF2dXhHdyfgc,0,0,5,9241,9241,9291,9,9,0,0,0.0,0.0,0.0,0.0,0.0,87.5,1.44,0,8,0.0,0.0,0.863,0.0,0
Ecafe,17tRggPGbLBVWFBoySALZXTABD2zSe3kEW,0,0,0,72398,72398,72398,72,63,9,45,40.0,0.000427,0.0,0.622,0.529,87.5,1.44,14,14,1.0,1.36,1.16,1.23,11
Eeharris,1CfWWyDNUeioJc7TBnqDBDyQKJUYwT7S2Z,0,0,4,671052,671052,671092,339,289,50,8886,8527.0,0.0911,0.0,13.2,0.929,95.0,1.96,53,54,0.981,1.33,1.59,1.5,75
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,0,0,0,5518,5518,5518,6,6,0,5,4.0,0.0000427,0.0,0.906,0.567,69.5,0.602,0,1,0.0,0.0,0.531,0.0,0
Emilianoz,1EykDePNj9311jvwcUaZczCjNFQ6Ep1zmi,10577,3173,2,13940,24517,17133,17,17,0,16,13.0,0.000139,0.0,0.934,0.57,83.0,1.18,1,12,0.0833,0.0569,0.884,0.0,0
Eroxors,1GhARG75QssPfXntVLW5wwpqPP6H2fRbmo,0,0,0,5835,5835,5835,6,0,6,4,2.0,0.0000214,0.0,1.37,0.612,47.0,0.137,2,4,0.5,0.562,0.322,0.5,3
Estera,14VRNYCwocTSAyPprHnKx12Eim6jDBHYZq,0,0,0,16888,16888,16888,17,17,0,5,4.0,0.0000427,0.0,0.296,0.461,70.0,0.619,0,11,0.0,0.0,0.51,0.0,0
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,0,0,203,292489,292489,294519,295,275,20,55326,36325.0,0.388,0.0,187.9,1.52,65.0,0.467,126,126,1.0,1.36,0.872,0.928,19
Flam,167fASsEEnKszkd8PdNRMB1HWTnxcNRgbR,0,0,404,57833,57833,61873,62,18,44,630,541.0,0.00578,0.0,10.2,0.886,85.0,1.29,40,41,0.976,1.32,1.17,1.25,55
Foreroz,1ArfuTn3o1NgVCMwnoyxZx6jPKPTmSP9o6
Funkyphantom,1E24V6K3S6tKQksaKCrVCr2sBKicAfs3mr
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,0,0,12,22480,22480,22600,23,22,1,2916,2651.0,0.0283,0.0,129.0,1.41,90.0,1.6,22,31,0.71,0.879,1.47,1.5,1
Gabcab,14JoB7XgPE57yZ4G57YrEFSurf35TGBE8t,0,0,0,7303,7303,7303,7,7,0,5,4.0,0.0000427,0.0,0.685,0.538,82.5,1.15,0,4,0.0,0.0,0.852,0.0,0
Giftculturewriting,16GGzGGsTtzvUdTHoWFJtWXXWdpPWwxr3u,0,0,11,42071,42071,42181,42,28,14,259,196.0,0.00209,0.0,6.14,0.807,75.0,0.803,18,18,1.0,1.36,0.86,0.916,13
Glongsword,1CRfD8qjUd8uKnYX35oxz8qAYrCnn2Zryc,0,0,0,1110,1110,1110,1,1,0,0,0.0,0.0,0.0,0.0,0.0,90.0,1.6,0,1,0.0,0.0,0.96,0.0,0
Gorgorom,1EgZsQ6zxrA5bCtMMR1uWAcjfqt7n8GNRJ,5993,1797,4,4865,10858,6702,7,5,2,9,7.0,0.0000748,0.0,1.34,0.609,82.0,1.13,0,6,0.0,0.0,0.858,0.913,2
Grantbills,1Dz6fEZma7bUwnGo44yRjgduP71cWtkgS4,0,0,3,28347,28347,28377,28,28,0,28,21.0,0.000224,0.0,0.987,0.576,75.5,0.824,11,19,0.579,0.678,0.735,0.0,0
Grc,1FxaZmCkaqkKxbBz52fNAMe9bRn2GoECvf,1550,465,0,709,2259,1174,1,1,0,2,2.0,0.0000214,0.0,1.7,0.637,97.0,2.12,2,2,1.0,1.36,1.6,0.0,0
Hayek,1KqMSjRnFpeWQUhDh3p2tGtRnPuZV486sM,0,0,9,30395,30395,30485,30,30,0,2,2.0,0.0000214,0.0,0.0656,0.349,75.0,0.803,18,55,0.327,0.327,0.619,0.0,0
Heliumbm,1Fm4p5nVbKxaYaQz4kuANQG2scDBLRvECJ,0,0,0,17649,17649,17649,18,18,0,61,42.0,0.000449,0.0,3.46,0.725,67.5,0.539,3,5,0.6,0.709,0.612,0.0,0
Hellinoos,1GnJic1ATC7R7cbzBR6Q7Yqziv7bwj8aQY,0,0,0,14731,14731,14731,15,15,0,2,2.0,0.0000214,0.0,0.136,0.399,82.5,1.15,4,4,1.0,1.36,0.947,0.0,0
Hellscabane,1G3FNG9ogDBxygJJxst5mH1oUeCS7UF12e
Hemingway,1Mrin7GnKsBPJ78mqZiChKzNtY5WC84WFZ,0,0,0,24213,24213,24213,24,25,0,6,5.0,0.0000534,0.0,0.248,0.446,75.0,0.803,0,18,0.0,0.0,0.616,0.0,0
Hunterbunter,17qBxPE1e84se785Yn3BupFRPPekEc15Pv,0,0,1,25729,25729,25739,26,24,2,36,29.0,0.00031,0.0,1.4,0.614,78.5,0.955,2,6,0.333,0.335,0.791,0.842,2
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR,0,0,0,1078,1078,1078,1,1,0,5,5.0,0.0000534,0.0,4.64,0.766,90.0,1.6,1,1,1.0,1.36,1.33,0.0,0
Ibrennan,14TM5MS9J3TZF2ZmAW91kCxVUHxeWTtLji,0,0,0,1009,1009,1009,1,1,0,9,7.0,0.0000748,0.0,8.92,0.864,82.0,1.13,1,1,1.0,1.36,1.07,0.0,0
Icoin,18HfzUZXGA3FZ1BM8abEmjBT9Wg52qQ4Sr,0,0,0,492,492,492,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0
Iheartcryptocoin,1N6SqcHmzSzs1cCe4wEt7Mo84m2p74stts,1833,549,0,66638,68471,67187,50,0,50,116,92.0,0.000983,0.0,3.45,0.725,78.5,0.955,19,19,1.0,1.36,0.927,0.987,49
Iluveunc,199BUHDPHwpzyzVzmTw6V2jeqYfEpVuwMu,0,0,0,13962,13962,13962,14,11,3,835,797.0,0.00852,0.0,59.8,1.23,94.5,1.92,10,10,1.0,1.36,1.66,1.5,4
Imatt1990,17czLaECADux6yASXbxLLPqvnTSc9sD2PN,0,0,0,3942,3942,3942,4,4,0,3,2.0,0.0000214,0.0,0.761,0.549,68.5,0.57,2,2,1.0,1.36,0.643,0.0,0
Infoporter,1EyUQD2gwHExXnJKSkhGeQsGwAPUuVvwcE,0,0,0,1338,1338,1338,1,1,0,21,17.0,0.000182,0.0,15.7,0.959,79.5,1.0,3,4,0.75,0.943,0.983,0.0,0
Jackjack,19QkqAza7BHFTuoz9N8UQkryP4E9jHo4N3,0,0,0,1095,1095,1095,1,1,0,347,315.0,0.00337,0.0,316.9,1.67,90.0,1.6,0,1,0.0,0.0,1.46,0.0,0
JackRussell,1CcWpm9HSqZwE96H3SeB7V1QGUhGHfxJh,0,0,1,15657,15657,15667,16,16,0,38,29.0,0.00031,0.0,2.43,0.68,75.5,0.824,7,11,0.636,0.765,0.774,0.0,0
