Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2592,2592,2592,3,3,0,0,0.0,0.0,0.0,0.0,0.0,81.5,1.25,4,4,1.0,1.22,0.871,0.0,0
Alexandriafini,19YqhfmEKLEwhT5NJN1ER1FB5yn3jq4yhL,0,0,0,7588,7588,7588,8,8,0,5,4.0,0.00000924,0.0,0.659,0.835,70.0,0.76,3,3,1.0,1.22,0.828,0.0,0
Aljiu,17AD7tcyFK5WWqpPykgx2pvypQdfiSCitR,0,0,2,1050,1050,1070,1,1,0,1,1.0,0.00000231,0.0,0.935,0.855,90.0,1.73,1,1,1.0,1.22,1.41,0.0,0
Alpha511,1Fcqq12HeSxi3UEqeuPrj7mKZ5U8CLosE5,0,0,12,4131,4131,4251,4,4,0,56,45.0,0.000104,0.0,13.2,1.03,80.0,1.18,3,3,1.0,1.22,1.13,0.0,0
Altos,19kKHtq3osvHqemFSxUvoVoBUPUpH7KQB3,0,0,0,25397,25397,25397,25,25,0,1,1.0,0.00000231,0.0,0.0394,0.687,80.0,1.18,7,7,1.0,1.22,1.03,0.0,0
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,4,10960,10960,11000,11,11,0,200,171.0,0.000395,0.0,18.2,1.05,84.5,1.4,10,10,1.0,1.22,1.28,0.0,0
Amirali00124,1FfeaJ6cQGWmfRH3SKsYnyMYA62g7FnDds,0,0,0,3131,3131,3131,3,3,0,3,2.0,0.00000462,0.0,0.958,0.857,62.5,0.525,4,4,1.0,1.22,0.694,0.0,0
Antdix,1NNnUkWk29x6PBMyUpRDXv4dEMNrw5qjWY,0,0,102,76285,76285,77305,77,77,0,43,30.0,0.0000693,0.0,0.556,0.825,70.0,0.76,42,42,1.0,1.22,0.825,0.0,0
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,559,167,0,49519,50078,49686,50,50,0,25,16.0,0.000037,0.0,0.503,0.819,65.0,0.597,54,54,1.0,1.22,0.726,0.0,0
Asquirrel,1Dme8MjSTnsQdGsXT94Yb5is9EXqRPYnVZ,0,0,0,3238,3238,3238,3,3,0,7,5.0,0.0000116,0.0,2.16,0.906,70.0,0.76,1,1,1.0,1.22,0.849,0.0,0
Athanasios_motok,13uzim3VkT6YSEGsUA7KxKkimepsaLF7ZE,701,210,39,56241,56942,56841,57,57,0,85,59.0,0.000136,0.0,1.5,0.883,69.0,0.725,80,81,0.988,1.18,0.818,0.0,0
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22207,22207,22207,22,22,0,3,2.0,0.00000462,0.0,0.135,0.748,79.0,1.13,15,15,1.0,1.22,1.02,0.0,0
Backa18,1A7mEa8zufBg2ajkQU8uezFKVvaxEqXr3g,0,0,2,98260,98260,98280,98,98,0,36,24.0,0.0000555,0.0,0.366,0.802,66.0,0.627,36,36,1.0,1.22,0.739,0.0,0
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10533,10533,10573,11,11,0,9,8.0,0.0000185,0.0,0.851,0.85,89.0,1.66,0,12,0.0,0.0,1.25,0.0,0
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36735,36735,36735,37,37,0,4,4.0,0.00000924,0.0,0.109,0.737,88.5,1.63,9,15,0.6,0.385,1.24,0.0,0
Ben,1DbJtgRfXqa2Vjh4Qfe35gGqMVEbC7DoAu,0,0,15,1947,1947,2097,2,2,0,48,43.0,0.0000994,0.0,22.9,1.07,89.5,1.69,1,1,1.0,1.22,1.46,0.0,0
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,28271,28271,28271,28,28,0,14,10.0,0.0000231,0.0,0.495,0.818,70.5,0.778,2,27,0.0741,0.00345,0.713,0.0,0
Bit-fxtrader,1BZrrPVnQibm9M357dATtTokUYP1vaosgU,0,0,1,43459,43459,43469,43,39,4,431,370.0,0.000855,0.0,9.92,1.01,85.0,1.43,26,26,1.0,1.22,1.28,1.15,5
Bittzy78,1Pz1K3res89p4GF3N26gz93CzbyWUcjEAb,3084,925,6,12925,16009,13910,14,14,0,23,19.0,0.0000439,0.0,1.65,0.889,80.0,1.18,13,13,1.0,1.22,1.09,0.0,0
Blackjet69,1tjX32UTH9DV9LkWKSncr4a3sJ4ksY84S,0,0,4,6821,6821,6861,7,7,0,5,4.0,0.00000924,0.0,0.729,0.841,85.0,1.43,7,7,1.0,1.22,1.23,0.0,0
Bmlzootown,1AWxtasquGuwRz9KMSfbZLVa3ED7XuXNev,0,0,0,1282,1282,1282,1,1,0,0,0.0,0.0,0.0,0.0,0.0,80.0,1.18,3,3,1.0,1.22,0.827,0.0,0
Boelens,1PZ4yQmyi4JsfhUUHJiNs15gt98MreQXw1,0,0,0,1421,1421,1421,1,1,0,4,2.0,0.00000462,0.0,2.81,0.923,60.0,0.46,1,1,1.0,1.22,0.674,0.0,0
Bomac,18sqY71VonaH81y4mWyrFirLf9ZMq238wY,0,0,70,280865,280865,281565,277,227,50,176,142.0,0.000328,0.0,0.625,0.832,80.0,1.18,67,67,1.0,1.22,1.08,0.962,48
Caprigon,1Q4siL9KD2W8cy5eguRr5z5R1iCca27Qqv,3084,925,1,169957,173041,170892,171,161,10,46,37.0,0.0000855,0.0,0.269,0.785,80.0,1.18,60,60,1.0,1.22,1.06,0.95,9
CaramelSunshine,14yBc8zcJZh8nhUVx62RBX1n19Nw4pgy2q,3963,1188,0,0,3963,1188,1,1,0,0,0.0,0.0,0.0,0.0,0.0,55.0,0.346,0,6,0.0,0.0,0.208,0.0,0
Cdelatorref,13TRk2LRQuPH926Dq4u1uL63gUvfX5wRN3,0,0,11,10208,10208,10318,10,10,0,31,22.0,0.0000508,0.0,3.0,0.927,70.0,0.76,15,15,1.0,1.22,0.856,0.0,0
Ceebizcut,1M5haKYJ8PJ43kHTs6okSBLj5gUhLRQiUJ,0,0,0,22266,22266,22266,22,22,0,3,2.0,0.00000462,0.0,0.135,0.748,75.0,0.952,0,12,0.0,0.0,0.796,0.0,0
Colin012,1LsUrZ2EcGKwy3Vt72FbFkng5bnYjdTsea,0,0,2,2877,2877,2897,3,2,1,14,13.0,0.00003,0.0,4.83,0.958,90.0,1.73,3,4,0.75,0.636,1.39,1.24,1
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,172607,51782,0,0,172607,51782,52,52,0,94,66.0,0.000153,0.0,1.82,0.895,70.0,0.76,50,116,0.431,0.183,0.743,0.0,0
Cryptobyte,1HwxMzbFqZfyE6HaR2D3keJQ1ync1V5UQR,0,0,0,5149,5149,5149,5,5,0,0,0.0,0.0,0.0,0.0,0.0,85.0,1.43,4,4,1.0,1.22,0.981,0.0,0
Cryptopi,16wwpo6sJeFFWMnSy7ySa62mZLTAWohyP7,0,0,3,117896,117896,117926,118,118,0,61,26.0,0.0000601,0.0,0.517,0.821,42.0,0.144,0,86,0.0,0.0,0.332,0.0,0
Cryptaur,18HEmGSt6x1aiwqEWQBZYedYwEjEB61FLe,0,0,47,45376,45376,45846,46,46,0,4,3.0,0.00000693,0.0,0.0872,0.726,82.5,1.3,34,38,0.895,0.947,1.09,0.0,0
Cybernet,1La3GDDFvm2fVSjDh7Wy6YvbZ4MiP7Mt1q,0,0,7,2315,2315,2385,2,2,0,4,4.0,0.00000924,0.0,1.68,0.89,87.5,1.57,4,4,1.0,1.22,1.33,0.0,0
Dalamar96,1BXH2Xida1orS5GpXdniMrwZFbi5iznM92,0,0,0,19133,19133,19133,19,19,0,6,4.0,0.00000924,0.0,0.314,0.793,65.0,0.597,6,6,1.0,1.22,0.718,0.0,0
Darebruges,1EkixVazBUdNarHfB5eUWsxQ6JJnQuQx3K,0,0,7,2551,2551,2621,3,3,0,12,6.0,0.0000139,0.0,4.58,0.954,50.5,0.262,4,4,1.0,1.22,0.565,0.0,0
Darknessfell,1EGufdRWTXBJtqfQrH3htzKFogQGbwEuBv,0,0,61,102682,102682,103292,100,50,50,70,58.0,0.000134,0.0,0.678,0.836,82.5,1.3,44,44,1.0,1.22,1.15,1.03,52
Dead_bit,1SuaNpdTNevb6VUYYn2Tqq4iXD5yeLmJ9,0,0,19,8440,8440,8630,9,9,0,7,4.0,0.00000924,0.0,0.811,0.847,60.0,0.46,6,6,1.0,1.22,0.651,0.0,0
DeadSea33,1A9qwtctYmYrCKSegy7RrNCUJxuohwFQmD,30998,9299,126,116304,147302,126863,127,127,0,80,69.0,0.000159,0.0,0.631,0.832,85.0,1.43,45,45,1.0,1.22,1.23,0.0,0
Deadwood,1MRCQrNWiXg8LA4vq6PfYvpdWfyZketSw6,0,0,6,25993,25993,26053,26,24,2,192,175.0,0.000404,0.0,7.37,0.986,90.0,1.73,17,17,1.0,1.22,1.45,1.3,3
Develcuy,1DogCa5wiVZJWFnFDezuw5XssoWWabijnE,0,0,0,2818,2818,2818,3,2,1,40,36.0,0.0000832,0.0,14.2,1.03,90.0,1.73,7,7,1.0,1.22,1.47,1.31,1
Devguy,1QAZtw4SYaMfceg55uL2yarTnDtjySSyXz,0,0,1,12111,12111,12121,12,12,0,1,1.0,0.00000231,0.0,0.0825,0.723,65.0,0.597,9,11,0.818,0.774,0.652,0.0,0
Devtome_Writer,17wwzTrWrk1buS9bxEFdgTsvhiyrDakBZe,0,0,0,10248,10248,10248,10,10,0,1,1.0,0.00000231,0.0,0.0976,0.732,70.0,0.76,10,13,0.769,0.674,0.743,0.0,0
Dexter,18jMxk8jqwvgpx4wT48VAb6jGbYNazz4b7,16281,4884,69,93310,109591,98884,99,99,0,9,6.0,0.0000139,0.0,0.091,0.728,67.5,0.675,3,31,0.0968,0.0063,0.624,0.0,0
Dglenn,15b3uWBBfMfhVwsXLYtGzXJ8vAHyjVV1Mu,0,0,0,176559,176559,176559,150,100,50,34,28.0,0.0000647,0.0,0.193,0.767,82.5,1.3,1,1,1.0,1.22,1.13,1.01,51
Dhouses,192hXH4dh4zASr1212X6GJFXsypavW2uMW,0,0,12,47680,47680,47800,48,48,0,66,55.0,0.000127,0.0,1.38,0.878,83.0,1.33,20,21,0.952,1.09,1.17,0.0,0
Diamondcardz,18q45dAKGakQdPkjrg17NrfdiFGKWULwSJ,0,0,2,2079,2079,2099,2,2,0,4,4.0,0.00000924,0.0,1.91,0.898,90.0,1.73,2,2,1.0,1.22,1.43,0.0,0
Diedicar,1NXSmDdfVdL548RzbzVx6CkUmXFoRZ5yH3,0,0,6,7052,7052,7112,7,7,0,1,1.0,0.00000231,0.0,0.141,0.75,95.0,2.06,4,4,1.0,1.22,1.58,0.0,0
Dinkleberg,1Mnd6HGYcoNryKT2bkaT55BPsVK1a8o49u,0,0,111,32574,32574,33684,34,34,0,25,20.0,0.0000462,0.0,0.742,0.842,79.0,1.13,35,35,1.0,1.22,1.05,0.0,0
Eammy,1EPRS5bUm6USqLWZf5faBzZF2dXhHdyfgc,0,0,5,9246,9246,9296,9,9,0,0,0.0,0.0,0.0,0.0,0.0,76.0,0.994,8,8,1.0,1.22,0.718,0.0,0
Ecafe,17tRggPGbLBVWFBoySALZXTABD2zSe3kEW,0,0,0,112578,112578,112578,113,113,0,21,17.0,0.0000393,0.0,0.187,0.765,80.0,1.18,16,16,1.0,1.22,1.06,0.0,0
Eeharris,1CfWWyDNUeioJc7TBnqDBDyQKJUYwT7S2Z,617948,185384,4,208786,826734,394210,394,394,0,6797,6179.0,0.0143,0.0,17.2,1.05,90.0,1.73,58,58,1.0,1.22,1.47,0.0,0
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,0,0,0,5520,5520,5520,6,6,0,1,1.0,0.00000231,0.0,0.181,0.764,69.5,0.742,1,1,1.0,1.22,0.796,0.0,0
Emilianoz,1EykDePNj9311jvwcUaZczCjNFQ6Ep1zmi,10577,3173,2,13940,24517,17133,17,17,0,8,7.0,0.0000162,0.0,0.467,0.815,83.0,1.33,1,12,0.0833,0.0045,1.04,0.0,0
Eroxors,1GhARG75QssPfXntVLW5wwpqPP6H2fRbmo,0,0,0,5837,5837,5837,6,6,0,4,2.0,0.00000462,0.0,0.685,0.837,50.0,0.254,4,4,1.0,1.22,0.525,0.0,0
Estera,14VRNYCwocTSAyPprHnKx12Eim6jDBHYZq,0,0,0,16888,16888,16888,17,17,0,3,2.0,0.00000462,0.0,0.178,0.763,69.0,0.725,0,11,0.0,0.0,0.664,0.0,0
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,0,0,255,366793,366793,369343,369,337,32,1272,1028.0,0.00238,0.0,3.44,0.936,80.0,1.18,153,153,1.0,1.22,1.11,0.99,32
Flam,167fASsEEnKszkd8PdNRMB1HWTnxcNRgbR,0,0,491,73154,73154,78064,78,78,0,209,158.0,0.000365,0.0,2.68,0.919,75.0,0.952,48,49,0.98,1.16,0.963,0.0,0
Foreroz,1ArfuTn3o1NgVCMwnoyxZx6jPKPTmSP9o6,0,0,0,14369,14369,14369,14,14,0,11,7.0,0.0000162,0.0,0.766,0.843,60.0,0.46,19,19,1.0,1.22,0.65,0.0,0
Funkyphantom,1E24V6K3S6tKQksaKCrVCr2sBKicAfs3mr,3458,1037,0,18359,21817,19396,19,19,0,0,0.0,0.0,0.0,0.0,0.0,70.0,0.76,0,24,0.0,0.0,0.456,0.0,0
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,0,0,12,22588,22588,22708,23,23,0,326,280.0,0.000647,0.0,14.4,1.03,85.0,1.43,23,31,0.742,0.621,1.23,0.0,0
Gabcab,14JoB7XgPE57yZ4G57YrEFSurf35TGBE8t,0,0,0,7303,7303,7303,7,7,0,0,0.0,0.0,0.0,0.0,0.0,80.0,1.18,0,4,0.0,0.0,0.705,0.0,0
