Format,pluribusunum
_beginpeers
http://galaxies.mygamesonline.org/receiver.csv
http://devcoinpool.btc-music.com/receiver/receiver.csv
http://devcoinblockexplorer.info/receiver/receiver.csv
http://devtome.com/files/receiver.csv
http://devcoin.darkgamex.ch/receiver.csv
_endpeers
_begincoins

Bitcoin Share List: 15 Shares
DiabloD3,1DbeWKCxnVCt3sRaSAmZLoboqr8pVyFzP1
Emery,1NKKQBSaQ6XMViwC46b4JCxGUiUp6EDZR5
FellowTraveler,1NtTPVVjDsUfDWybS4BwvHpG2pdS9RnYyQ
Forrestv,1HNeqi3pJRNvXybNX4FKzZgYJsdTSqJTbk
Gweedo,15MZRa1cPUVChs6XpzyAfGox5nvPVpSvok
John_Smith,1B2fZN58SD4JqaTitHmBLcSo89GfUtvWZ3
John_Tobey,1PWC7PNHL1SgvZaN7xEtygenKjWobWsCuf
Khal,1KHAL8bUjnkMRMg9yd2dNrYnJgZGH8Nj6T
Luke-Jr,1ABvQwiuCnySQqBzruaAcdrkgYae9LoqWz
Marcus_of_Augustus,1ARVXWVKGPPYPVVwT1Fmy8UzVDSvNe6anh
Markm,1MbRAfeayy7bYfJ8yBVKTt41nyiGhVAz62
Matt_Corallo,1JBMattRztKDF2KRS3vhjJXA7h47NEsn2c
M0mchil,126VZtqifE91nrBsXRkjZRMkTTvSTEMHPC
Ssm2017,1MKEmEkcJ1STcYCUoDwzhREqt2CjUJwre2
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB

Bounty: 122 Shares
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,2-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg1916251#msg1916251)
CaramelSunshine,1DMjwKJBkt2aujYJPuSCooRNNn9JUJs7Yx,3-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg1892055#msg1892055)
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,1-Advertising Administrator(https://bitcointalk.org/index.php?topic=34586.msg1888348#msg1888348)
DeadSea33,1A9qwtctYmYrCKSegy7RrNCUJxuohwFQmD,1-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg2127511#msg2127511),2/5-Logo(https://bitcointalk.org/index.php?topic=34586.msg2127742#msg2127742)
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,1/5-Node Maintenance(https://bitcointalk.org/index.php?topic=34586.msg1938014#msg1938014),2/5-Block Explorer Maintenance(https://bitcointalk.org/index.php?topic=34586.msg1943155#msg1943155),2-Block Explorer(https://bitcointalk.org/index.php?topic=34586.msg1943155#msg1943155),2-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg2051099#msg2051099),2/5-Faucet Maintenance(https://bitcointalk.org/index.php?topic=34586.msg2028378#msg2028378),4-Exchange Gateway(https://bitcointalk.org/index.php?topic=34586.msg2126185#msg2126185)
Emilianoz,1EykDePNj9311jvwcUaZczCjNFQ6Ep1zmi,1-Signing Bonus((https://bitcointalk.org/index.php?topic=34586.msg2127562#msg2127562)
Faucet,1EpJKJbpeoXnYGtoB8F6re78FMAtvNRWMf,2/5-Faucet Donation
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,2-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg1992454#msg1992454),2/5-Button(https://bitcointalk.org/index.php?topic=34586.msg2095859#msg2095859)
FinShaggy,1BbHG9is6AisQq47Zxi9KHVb3Duo6Lbi9M,3-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg1892010#msg1892010)
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,1-Signing Administrator(https://bitcointalk.org/index.php?topic=34586.msg1888348#msg1888348),2/5-File Administrator,3-Mining Business Split(https://bitcointalk.org/index.php?topic=34586.msg2093428#msg2093428)
